step,reward
21,0.0
43,0.0
93,1.0
115,0.0
183,1.0
205,0.0
255,1.0
277,0.0
299,0.0
321,0.0
343,0.0
365,0.0
387,0.0
409,0.0
431,0.0
453,0.0
475,0.0
497,0.0
519,0.0
541,0.0
563,0.0
613,1.0
710,2.0
732,0.0
754,0.0
776,0.0
798,0.0
820,0.0
842,0.0
864,0.0
886,0.0
908,0.0
930,0.0
952,0.0
974,0.0
996,0.0
1018,0.0
1040,0.0
1062,0.0
1084,0.0
1106,0.0
1128,0.0
1150,0.0
1172,0.0
1194,0.0
1216,0.0
1238,0.0
1260,0.0
1282,0.0
1304,0.0
1326,0.0
1394,1.0
1416,0.0
1438,0.0
1460,0.0
1482,0.0
1504,0.0
1526,0.0
1645,2.0
1667,0.0
1689,0.0
1711,0.0
1733,0.0
1755,0.0
1777,0.0
1799,0.0
1821,0.0
1843,0.0
1940,2.0
2009,1.0
2031,0.0
2053,0.0
2075,0.0
2097,0.0
2119,0.0
2141,0.0
2163,0.0
2185,0.0
2207,0.0
2257,1.0
2279,0.0
2301,0.0
2323,0.0
2345,0.0
2367,0.0
2389,0.0
2459,1.0
2481,0.0
2549,1.0
2571,0.0
2593,0.0
2615,0.0
2684,1.0
2706,0.0
2825,2.0
2847,0.0
2869,0.0
2938,1.0
2960,0.0
3057,2.0
3079,0.0
3101,0.0
3123,0.0
3145,0.0
3167,0.0
3189,0.0
3211,0.0
3282,1.0
3304,0.0
3326,0.0
3348,0.0
3370,0.0
3392,0.0
3414,0.0
3436,0.0
3506,1.0
3528,0.0
3550,0.0
3572,0.0
3594,0.0
3616,0.0
3638,0.0
3706,1.0
3758,1.0
3780,0.0
3802,0.0
3852,1.0
3874,0.0
3896,0.0
3918,0.0
3940,0.0
3962,0.0
3984,0.0
4006,0.0
4028,0.0
4050,0.0
4072,0.0
4094,0.0
4162,1.0
4184,0.0
4281,2.0
4303,0.0
4325,0.0
4393,1.0
4415,0.0
4437,0.0
4459,0.0
4556,2.0
4578,0.0
4600,0.0
4622,0.0
4644,0.0
4715,1.0
4737,0.0
4759,0.0
4781,0.0
4833,1.0
4932,2.0
4954,0.0
4976,0.0
4998,0.0
5020,0.0
5042,0.0
5064,0.0
5087,0.0
5137,1.0
5159,0.0
5181,0.0
5203,0.0
5225,0.0
5247,0.0
5269,0.0
5338,1.0
5360,0.0
5382,0.0
5404,0.0
5426,0.0
5448,0.0
5470,0.0
5492,0.0
5514,0.0
5536,0.0
5558,0.0
5580,0.0
5602,0.0
5624,0.0
5646,0.0
5668,0.0
5690,0.0
5712,0.0
5734,0.0
5756,0.0
5778,0.0
5800,0.0
5822,0.0
5844,0.0
5914,1.0
5936,0.0
5958,0.0
6029,1.0
6099,1.0
6121,0.0
6143,0.0
6165,0.0
6236,1.0
6333,2.0
6355,0.0
6377,0.0
6399,0.0
6421,0.0
6443,0.0
6465,0.0
6562,2.0
6584,0.0
6606,0.0
6628,0.0
6697,1.0
6719,0.0
6816,2.0
6913,2.0
6981,1.0
7078,2.0
7100,0.0
7168,1.0
7190,0.0
7212,0.0
7234,0.0
7256,0.0
7306,1.0
7328,0.0
7350,0.0
7420,1.0
7442,0.0
7464,0.0
7534,1.0
7556,0.0
7578,0.0
7600,0.0
7622,0.0
7644,0.0
7694,1.0
7716,0.0
7813,2.0
7835,0.0
7857,0.0
7879,0.0
7901,0.0
7923,0.0
7945,0.0
8042,2.0
8064,0.0
8086,0.0
8154,1.0
8176,0.0
8198,0.0
8220,0.0
8242,0.0
8264,0.0
8286,0.0
8308,0.0
8330,0.0
8427,2.0
8449,0.0
8546,2.0
8568,0.0
8618,1.0
8640,0.0
8691,1.0
8713,0.0
8810,2.0
8832,0.0
8854,0.0
8876,0.0
8898,0.0
8920,0.0
8988,1.0
9010,0.0
9032,0.0
9054,0.0
9076,0.0
9147,1.0
9169,0.0
9191,0.0
9213,0.0
9235,0.0
9332,2.0
9476,3.0
9573,2.0
9641,1.0
9663,0.0
9685,0.0
9707,0.0
9729,0.0
9751,0.0
9773,0.0
9873,2.0
9895,0.0
9992,2.0
10014,0.0
10111,2.0
10182,1.0
10204,0.0
10226,0.0
10248,0.0
10298,1.0
10320,0.0
10342,0.0
10364,0.0
10386,0.0
10408,0.0
10505,2.0
10527,0.0
10577,1.0
10627,1.0
10649,0.0
10671,0.0
10693,0.0
10715,0.0
10765,1.0
10787,0.0
10809,0.0
10831,0.0
10853,0.0
10875,0.0
10897,0.0
10919,0.0
10941,0.0
